BOOK_ID,SAP_PRODUCT_ID,ISBN,TITLE,AUTHOR_NAME,PUBLISHER,GENRE,RELEASE_DATE,UNIT_PRICE,CURRENCY,INITIAL_PRINT_QTY,BOOK_STATUS,SOURCE_SYSTEM,UPDATED_AT
B010,PRD-B010,9784000001017,地方創生の出版戦略,佐藤 剛,Shuppansha,ビジネス,2026-05-20,1900.00,JPY,5000,発売中,S4HANA,2026-06-10T10:00:00Z
B011,PRD-B011,9784000001024,AIで変わる書店現場,高橋 直子,Shuppansha,IT,2026-06-01,2100.00,JPY,4200,発売中,S4HANA,2026-06-10T10:05:00Z
B012,PRD-B012,9784000001031,鳥取の未来をひらく本,渡辺 美咲,Shuppansha,地域,2026-04-15,1600.00,JPY,3000,発売中,S4HANA,2026-06-09T12:00:00Z
B013,PRD-B013,9784000001048,小売DX入門,山田 健一,Shuppansha,IT,2026-03-25,2200.00,JPY,3800,発売中,S4HANA,2026-06-09T12:10:00Z
B014,PRD-B014,9784000001055,地域書店の経営戦略,中村 彩,Shuppansha,ビジネス,2026-02-10,1800.00,JPY,2600,発売中,S4HANA,2026-06-08T08:30:00Z
B015,PRD-B015,9784000001062,親子で読む山陰ガイド,森田 悠,Shuppansha,旅行,2026-04-28,1500.00,JPY,2400,発売中,S4HANA,2026-06-08T08:35:00Z
B016,PRD-B016,9784000001079,データで読む出版流通,井上 真,Shuppansha,データ分析,2026-05-05,2400.00,JPY,3600,発売中,S4HANA,2026-06-07T09:00:00Z
B017,PRD-B017,9784000001086,書店員のためのAI活用,小林 優子,Shuppansha,IT,2026-06-12,2000.00,JPY,4500,発売前,S4HANA,2026-06-12T09:30:00Z
B018,PRD-B018,9784000001093,売場づくりの心理学,加藤 亮,Shuppansha,マーケティング,2026-01-18,1700.00,JPY,3200,発売中,S4HANA,2026-06-06T11:00:00Z
B019,PRD-B019,9784000001109,返品を減らす在庫管理,鈴木 恵,Shuppansha,業務改善,2026-05-30,2300.00,JPY,2800,発売中,S4HANA,2026-06-10T11:15:00Z
